Morocco	129	51	88	165	102	135	158	132	67	114	60
Bhutan	119	52	119	14	33	158	122	68	149	38	178
South Africa	35	53	45	91	76	26	9	61	134	85	68
Uzbekistan	138	54	145	67	119	170	107	159	165	48	119
Egypt	126	55	163	108	101	115	83	150	26	145	125
Palau	82	56	47	9	14	170	165	73	121	142	55
Lithuania	26	57	57	124	4	36	83	71	23	18	31
Kazakhstan	71	57	173	22	72	48	51	44	178	28	100
Pakistan	76	59	93	132	88	68	19	146	94	154	51
Nepal	111	60	125	155	25	97	64	92	151	123	95
Madagascar	149	61	139	150	165	176	51	86	126	151	178
Mongolia	52	62	43	64	18	68	19	90	168	27	115
Rwanda	150	63	124	95	137	158	165	50	166	44	178
Azerbaijan	96	64	159	80	56	26	107	141	173	30	75
Italy	53	65	78	56	49	68	51	122	62	155	25
Paraguay	103	66	98	173	55	48	51	93	123	105	132
Hungary	45	67	87	81	96	26	107	127	45	12	53
Tunisia	88	68	96	113	66	97	147	148	28	80	30
Fiji	36	69	28	16	77	48	33	52	111	62	114
Nicaragua	93	70	127	59	130	68	83	156	87	69	63
Germany	20	71	16	137	47	3	83	67	10	15	29
Slovakia	32	72	50	75	5	7	98	122	90	50	36
Vanuatu	62	73	24	77	111	135	64	18	142	66	49
Malaysia	24	74	105	43	67	3	4	56	21	63	54
Mexico	44	75	21	134	71	48	33	135	76	83	23
Papua New Guinea	84	76	118	31	64	115	33	79	82	162	97
Iran	135	77	164	141	143	68	158	97	135	57	118
Lao PDR	164	78	111	82	149	170	176	114	158	111	178
St. Kitts and Nevis	64	79	7	18	140	115	19	85	22	117	178
Nigeria	108	80	161	30	173	84	51	107	138	93	89
Moldova	92	81	153	93	46	97	98	111	122	17	82
Zambia	116	82	148	121	125	97	64	30	160	86	84
Austria	25	83	40	62	30	26	122	80	12	6	21
Dominican Republic	99	84	74	106	106	36	122	139	35	82	142
Solomon Islands	79	85	34	47	162	135	51	26	74	104	101
Kiribati	73	86	65	25	60	158	33	10	97	71	178
Guyana	104	86	69	71	53	158	64	100	101	73	123
Colombia	66	88	61	83	69	84	19	167	105	147	27
Sierra Leone	160	89	151	169	172	115	98	145	130	140	141
Serbia	86	90	149	110	115	13	64	121	58	101	103
Czech Republic	56	91	83	55	54	26	83	113	30	97	108
Bangladesh	107	92	116	129	171	48	15	81	112	175	102
Croatia	97	93	162	139	99	48	122	43	96	45	78
Gambia	131	94	70	29	133	135	165	173	73	61	116
Tanzania	130	95	170	151	160	115	83	104	100	35	109
Sudan	143	95	131	140	32	135	141	60	143	143	178
Vietnam	91	97	63	84	38	48	165	128	63	40	121
Montenegro	81	98	113	98	103	84	19	129	113	131	41
Botswana	51	99	122	70	36	26	107	14	145	95	26
Bulgaria	46	100	103	57	62	13	33	88	89	90	72
Namibia	43	101	31	33	128	36	64	48	144	33	47
Peru	58	102	109	159	35	36	15	77	71	119	94
Taiwan, China	50	103	128	148	24	48	64	91	29	92	13
Samoa	61	104	41	15	58	135	19	53	108	80	129
Burkina Faso	161	105	169	152	170	115	138	133	170	109	91
Ethiopia	102	106	58	89	147	97	107	29	150	77	70
Oman	49	107	130	26	15	97	64	5	104	110	59
Malawi	127	108	117	90	87	84	64	78	161	135	135
Ukraine	139	109	174	102	138	68	141	177	120	46	140
Korea	30	110	22	131	68	36	64	106	13	10	11
India	120	111	134	85	112	36	33	165	79	177	137
Kenya	72	112	9	66	114	13	83	154	148	107	76
Costa Rica	115	113	120	79	41	48	158	162	54	130	104
Argentina	109	114	165	147	96	48	98	147	107	47	65
Uganda	118	114	81	11	163	158	122	55	141	119	48
Belize	59	116	3	28	113	84	107	47	116	170	24
Brunei	78	117	66	4	178	97	121	28	36	158	35
Spain	38	118	46	154	42	13	83	93	47	55	17
Belarus	110	119	94	43	94	115	98	178	137	16	69
Slovenia	55	120	62	166	99	68	19	63	69	79	34
Kuwait	40	121	85	39	72	68	19	8	99	99	67
Brazil	122	122	107	119	110	84	64	137	93	106	131
Albania	136	123	168	109	82	48	165	118	70	74	178
Burundi	174	124	171	99	122	170	147	109	167	148	178
Mozambique	134	125	147	162	126	97	33	72	140	138	134
Lesotho	124	126	146	69	132	115	141	49	129	99	62
Ṣo Tom̩ and Principe	163	126	113	176	146	115	122	153	91	115	178
Guatemala	114	128	167	105	23	68	122	116	116	98	86
Poland	74	129	156	78	81	68	33	125	40	68	88
El Salvador	69	130	121	76	37	48	107	101	68	54	85
Algeria	125	131	108	118	156	115	64	157	114	117	45
Lebanon	85	132	113	53	92	48	83	33	83	121	117
Jordan	80	133	71	45	109	84	107	19	59	128	87
Venezuela	172	134	95	177	74	135	165	174	156	70	146
China	83	135	175	86	29	84	83	168	42	20	57
Honduras	121	135	72	116	78	13	147	160	103	124	113
Benin	151	137	123	115	105	115	147	161	124	166	106
Ghana	87	138	140	138	26	115	33	75	61	51	96
Central African Republic	177	139	133	149	95	115	122	175	172	169	178
Timor-Leste	168	140	100	73	178	170	122	62	78	178	178
Liberia	170	141	176	103	167	135	138	119	98	165	144
Swaziland	95	142	19	51	142	36	175	40	146	129	56
Zimbabwe	152	143	172	123	79	97	107	144	169	74	151
Philippines	133	144	77	122	86	97	141	126	57	113	147
Comoros	147	145	56	158	84	158	122	46	119	152	178
Congo, Dem. Rep.	178	146	138	171	141	158	147	149	154	173	150
Gabon	144	147	44	163	148	115	147	93	106	145	130
Ecuador	128	148	53	168	70	97	122	57	131	59	124
Mali	158	149	101	88	90	135	147	151	162	157	107
Bosnia and Herzegovina	105	150	150	114	144	13	83	142	53	126	61
Uruguay	98	151	137	72	139	26	83	131	125	91	37
Greece	100	152	42	142	93	84	158	86	65	87	38
Niger	169	153	155	161	63	135	147	115	163	132	133
Congo, Rep.	175	154	67	167	168	115	147	176	171	156	110
C̫te d'Ivoire	155	155	157	112	153	135	147	140	147	122	71
Cape Verde	132	156	79	143	127	68	122	117	51	56	178
Bolivia	140	157	106	177	120	97	122	172	115	112	52
United Arab Emirates	68	158	38	65	8	115	107	4	24	144	139
Senegal	162	159	64	160	155	135	158	164	136	148	73
Cameroon	154	160	154	120	134	115	107	166	132	172	92
Tajikistan	153	161	166	125	43	135	176	155	176	23	99
Cambodia	145	162	144	133	98	177	64	21	139	134	178
Suriname	142	163	97	50	136	135	174	23	86	174	145
Iraq	141	164	104	60	40	135	107	37	175	150	178
Djibouti	146	165	92	130	131	135	173	51	66	159	126
West Bank and Gaza	117	166	132	103	118	68	33	22	77	125	178
Mauritania	157	167	142	117	52	115	141	171	152	89	143
Indonesia	123	168	99	153	121	68	51	110	41	141	136
Syria	137	169	86	126	89	158	107	98	127	171	77
Haiti	148	170	126	35	128	115	158	96	153	95	148
Guinea	166	171	158	99	151	135	165	163	102	127	111
Equatorial Guinea	165	172	90	175	56	135	141	136	133	72	178
Angola	167	173	136	172	166	84	51	120	164	176	138
Eritrea	171	174	178	58	158	158	98	103	159	52	178
Yemen	113	175	35	63	44	158	122	84	128	41	83
Togo	156	176	143	146	150	135	138	138	81	153	90
Chad	173	177	68	135	123	135	122	124	157	167	178
Guinea-Bissau	176	178	101	174	164	135	122	112	109	137	178
